pupilid,schoolid,district,bungoma,division,zone,tracking,sbm,girl,agetest,etpteacher,lowstream,stream_meanpercentile,SDstream_std_mark,MEANstream_std_mark,bottomhalf,tophalf,bottomquarter,secondquarter,thirdquarter,topquarter,std_mark,percentile,realpercentile,quantile5p,attrition,wordscore,sentscore,letterscore,spellscore,sentscore24,letterscore24,spellscore24,litscore,additions_score,substractions_score,multiplications_score,mathscoreraw,totalscore,rMEANstream_std_baselinemark,rSDstream_std_baselinemark,rMEANstream_std_total,rSDstream_std_total,rMEANstream_std_math,rSDstream_std_math,rMEANstream_std_lit,rSDstream_std_lit,r2_attrition,r2_age,r2_wordscore,r2_sentscore,r2_letterscore,r2_spellscore,r2_sentscore24,r2_letterscore24,r2_spellscore24,r2_litscore,r2_mathscoreraw,r2_additions_score,r2_substractions_score,r2_multiplications_score,r2_totalscore
5001073,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,14,1,0,75,1,1,0,1,0,0,0,1,1,76,77,16,0,0,0,39,1,0,13,2,4,8,6,0,14,18,1,1,1,1,1,1,0,1,0,13,12,10,70,6,6,24,14,14,16,7,6,3,30
5001075,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,11,1,0,75,1,1,0,1,0,0,0,1,1,77,78,16,0,24,14,68,8,8,23,19,19,9,9,6,24,43,1,1,1,1,1,1,0,1,0,9,22,34,70,10,20,24,24,23,20,8,8,4,43
5001077,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,11,1,0,75,1,1,0,1,0,0,0,1,1,80,80,16,0,22,14,30,9,8,10,22,16,7,6,0,13,29,1,1,1,1,1,1,0,1,0,10,24,36,58,8,22,20,19,21,20,9,8,3,41
5001078,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,10,1,0,75,1,1,0,1,0,0,0,1,1,81,81,17,0,6,3,8,1,2,3,2,3,7,5,2,14,17,1,1,1,1,1,1,0,1,0,12,16,6,22,1,4,8,2,7,17,9,5,3,24
5001081,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,11,1,0,75,1,1,0,1,0,0,0,1,1,84,85,17,0,8,4,8,1,2,3,2,4,8,5,3,16,20,1,1,1,1,1,1,0,1,0,12,18,2,36,8,1,12,19,13,17,7,8,2,30
5001082,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,13,1,0,75,1,1,0,1,0,0,0,1,1,85,86,18,0,20,13,40,9,8,14,22,16,5,6,2,13,29,1,1,1,1,1,1,0,1,0,12,22,30,66,10,18,23,24,22,17,5,9,3,39
5001083,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,11,1,0,75,1,1,0,1,0,0,0,1,1,86,87,18,0,0,8,30,2,5,10,5,5,8,7,3,18,23,1,1,1,1,1,1,0,1,0,10,10,4,67,2,2,23,5,10,18,8,8,2,28
5001084,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,13,1,0,75,1,1,0,1,0,0,0,1,1,87,88,18,0,24,10,47,10,6,16,24,18,6,7,3,16,34,1,1,1,1,1,1,0,1,0,12,24,31,55,9,19,19,22,21,13,7,5,1,34
5001086,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,14,1,0,75,1,1,0,1,0,0,0,1,1,90,90,18,0,2,1,23,4,1,8,10,5,8,8,2,18,23,1,1,1,1,1,1,0,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5001088,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,11,1,0,75,1,1,0,1,0,0,0,1,2,93,93,19,0,18,12,53,6,7,18,14,14,8,8,3,19,33,1,1,1,1,1,1,0,1,0,11,24,30,70,7,18,24,17,21,17,8,7,2,38
5001089,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,11,1,0,75,1,1,0,1,0,0,0,1,2,92,93,19,0,22,10,39,7,6,13,17,15,8,7,3,18,33,1,1,1,1,1,1,0,1,0,12,22,32,52,8,19,18,19,20,21,9,9,3,41
5001090,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,13,1,0,75,1,1,0,1,0,0,0,1,2,94,94,19,0,12,9,56,5,5,19,12,12,8,9,2,19,31,1,1,1,1,1,1,0,1,0,11,24,26,70,6,16,24,14,20,17,8,7,2,37
5001092,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,0,12,1,0,75,1,1,0,1,0,0,0,1,2,96,97,20,0,19,1,49,7,1,17,17,13,8,9,2,19,32,1,1,1,1,1,1,0,1,0,11,24,6,68,10,4,23,24,19,20,9,6,5,39
5001094,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,11,1,0,75,1,1,0,1,0,0,0,1,3,98,99,20,0,24,24,51,8,14,17,19,19,9,5,3,17,36,1,1,1,1,1,1,0,1,0,10,24,38,69,0,23,24,0,18,21,9,8,4,39
5001095,500,BUNGOMA,1,KANDUYI,SANGALO,1,1,1,11,1,0,75,1,1,0,1,0,0,0,1,3,99,100,20,0,24,24,68,8,14,23,19,20,8,9,3,20,40,1,1,1,1,1,1,0,1,0,11,24,38,70,9,23,24,22,23,23,9,9,5,46
6661001,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,9,1,1,25,1,-1,1,0,1,0,0,0,-2,1,2,1,0,0,0,8,0,0,3,0,1,1,1,0,2,3,-1,1,-1,1,0,1,0,1,0,9,0,9,23,3,5,8,7,5,7,4,3,0,12
6661002,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,7,1,1,25,1,-1,1,0,1,0,0,0,-2,4,5,1,0,0,0,42,0,0,14,0,4,0,0,0,0,4,-1,1,-1,1,0,1,-1,1,0,11,0,0,49,0,0,17,0,4,0,0,0,0,4
6661004,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,8,1,1,25,1,-1,1,0,1,0,0,0,-2,7,7,2,0,0,3,35,2,2,12,5,5,1,2,0,3,8,-1,1,-1,1,0,1,-1,1,0,8,18,8,49,8,5,17,19,15,9,4,5,0,24
6661005,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,7,1,1,25,1,-1,1,0,1,0,0,0,-2,10,10,2,0,4,1,32,3,1,11,7,6,5,4,3,12,18,-1,1,-1,1,0,1,-1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6661006,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,8,1,1,25,1,-1,1,0,1,0,0,0,-1,12,12,3,0,0,8,14,0,5,5,0,2,1,1,0,2,4,-1,1,-1,1,0,1,-1,1,0,9,8,0,50,7,0,17,17,10,12,5,5,2,22
6661007,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,7,1,1,25,1,-1,1,0,1,0,0,0,-1,14,15,3,0,8,0,42,1,0,14,2,6,3,2,0,5,11,-1,1,-1,1,0,1,-1,1,0,7,10,11,66,9,7,23,22,15,11,5,4,2,26
6661008,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,10,1,1,25,1,-1,1,0,1,0,0,0,-1,16,17,4,0,0,1,0,0,1,0,0,0,4,3,0,7,7,-1,1,-1,1,0,1,0,1,0,10,0,5,19,2,3,7,5,4,9,5,3,1,13
6661009,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,7,1,1,25,1,-1,1,0,1,0,0,0,-1,18,19,4,0,0,3,16,1,2,5,2,2,4,5,0,9,11,-1,1,-1,1,0,1,-1,1,0,7,0,7,35,2,4,12,5,5,8,2,6,0,13
6661010,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,9,1,1,25,1,-1,1,0,1,0,0,0,-1,21,21,5,0,0,0,31,1,0,11,2,3,4,0,0,4,7,-1,1,-1,1,0,1,-1,1,0,9,20,5,36,7,3,12,17,13,9,5,4,0,22
6661011,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,10,1,1,25,1,-1,1,0,1,0,0,0,-1,23,23,5,0,24,7,61,8,4,21,19,17,8,5,3,16,33,-1,1,-1,1,-1,1,-1,1,0,10,22,15,56,9,9,19,22,18,15,6,6,3,33
6661013,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,8,1,1,25,1,-1,1,0,0,1,0,0,-1,27,28,6,0,8,7,42,5,4,14,12,10,6,3,0,9,19,-1,1,-1,1,0,1,-1,1,0,10,0,4,50,9,2,17,22,10,16,8,5,3,26
6661014,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,7,1,1,25,1,-1,1,0,0,1,0,0,-1,29,30,6,0,24,24,59,9,14,20,22,20,3,5,3,11,31,-1,1,-1,1,0,1,-1,1,0,8,22,24,69,10,14,24,24,21,10,3,4,3,31
6661015,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,10,1,1,25,1,-1,1,0,0,1,0,0,0,32,32,7,0,10,7,29,9,4,10,22,11,5,3,1,9,20,-1,1,-1,1,0,1,-1,1,0,11,18,8,69,5,5,24,12,15,13,6,5,2,28
6661016,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,8,1,1,25,1,-1,1,0,0,1,0,0,0,34,34,7,0,24,10,69,10,6,24,24,19,8,5,3,16,35,-1,1,-1,1,-1,1,-1,1,0,10,24,15,69,7,9,24,17,18,15,8,5,2,33
6661017,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,8,1,1,25,1,-1,1,0,0,1,0,0,0,36,36,8,0,22,18,53,10,11,18,24,19,6,5,0,11,30,-1,1,-1,1,0,1,-1,1,0,10,22,9,70,6,5,24,14,16,10,3,5,2,26
6661018,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,10,1,1,25,1,-1,1,0,0,1,0,0,0,39,40,8,0,6,18,0,0,11,0,0,4,1,5,3,9,13,-1,1,-1,1,0,1,-1,1,0,10,0,0,15,4,0,5,10,4,3,1,2,0,7
6661019,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,8,1,1,25,1,-1,1,0,0,1,0,0,0,42,43,9,0,20,7,69,7,4,24,17,16,7,5,0,12,28,-1,1,-1,1,0,1,-1,1,0,8,22,9,70,7,5,24,17,17,14,9,3,2,31
6661020,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,10,1,1,25,1,-1,1,0,0,1,0,0,0,41,42,9,0,16,1,65,5,1,22,12,13,7,8,3,18,31,-1,1,-1,1,-1,1,-1,1,0,11,14,1,70,8,1,24,19,14,19,8,7,4,33
6661022,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,9,1,1,25,1,-1,1,0,0,1,0,0,0,47,47,10,0,2,0,24,2,0,8,5,4,3,2,0,5,9,-1,1,-1,1,0,1,-1,1,0,9,24,8,66,7,5,23,17,17,12,3,6,3,29
6661024,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,10,0,0,75,1,1,0,1,0,0,1,0,0,51,52,11,0,24,6,39,8,4,13,19,15,5,6,1,12,27,1,1,1,1,0,1,0,1,0,10,24,26,69,8,16,24,19,21,13,8,5,0,34
6661025,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,9,0,0,75,1,1,0,1,0,0,1,0,0,53,54,11,0,0,8,25,3,5,9,7,5,3,2,1,6,11,1,1,1,1,0,1,1,1,0,8,14,5,39,3,3,13,7,9,16,8,5,3,25
6661026,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,9,0,0,75,1,1,0,1,0,0,1,0,0,55,56,12,0,4,6,56,1,4,19,2,7,7,6,2,15,22,1,1,1,1,0,1,1,1,0,9,10,0,63,1,0,22,2,9,18,8,8,2,27
6661027,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,1,7,0,0,75,1,1,0,1,0,0,1,0,0,58,58,12,0,4,0,23,0,0,8,0,3,4,4,0,8,11,1,1,1,1,0,1,1,1,0,8,20,15,55,9,9,19,22,17,9,6,3,0,26
6661029,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,7,0,0,75,1,1,0,1,0,0,1,0,0,62,62,13,0,20,6,45,4,4,15,10,12,7,6,1,14,26,1,1,1,1,0,1,0,1,0,8,18,1,46,5,1,16,12,12,13,7,4,2,25
6661030,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,8,0,0,75,1,1,0,1,0,0,1,0,0,65,66,14,0,14,10,48,9,6,16,22,15,5,3,0,8,23,1,1,1,1,0,1,0,1,0,10,24,11,70,7,7,24,17,18,16,9,5,2,34
6661031,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,9,0,0,75,1,1,0,1,0,0,1,0,1,68,69,14,0,22,5,32,8,3,11,19,14,5,5,2,12,26,1,1,1,1,0,1,0,1,0,10,22,13,50,8,8,17,19,17,16,8,6,2,33
6661032,666,BUTERE/M,0,BUTERE,BUTERE EAST,1,1,0,8,0,0,75,1,1,0,1,0,0,1,0,1,67,68,14,0,24,20,48,10,12,16,24,19,5,2,3,10,29,1,1,1,1,0,1,0,1,0,9,24,23,70,8,14,24,19,20,14,7,5,2,34
